source,menu_code,menu_label,route_path,parent_label,sort_order
pmoMenuConfig,pmo-dashboard,Dashboard,,,
pmoMenuConfig,pmo-portfolio,Portfolio,,,
pmoMenuConfig,pmo-pp-collisions,Portfolio Collisions,,,
pmoMenuConfig,pmo-programme,Programme,,,
pmoMenuConfig,pmo-pp-benefits,Benefits Management,,,
pmoMenuConfig,pmo-projects,Projects,,,
pmoMenuConfig,pmo-pr-my-projects,My Projects,,,
pmoMenuConfig,pmo-pp-project-list,Project list (browse & edit),,,
pmoMenuConfig,pmo-pp-create-project,Create project,,,
pmoMenuConfig,pmo-pr-quick-create,Quick create (new wizard),,,
pmoMenuConfig,pmo-pp-archives,Archived projects,,,
pmoMenuConfig,pmo-pp-on-hold,On hold / drafts,,,
pmoMenuConfig,pmo-pr-members-roles,Members & roles (invite / assign),,,
pmoMenuConfig,pmo-pp-project-templates,Templates,,,
pmoMenuConfig,pmo-industry-templates,Industry Templates,,,
pmoMenuConfig,pmo-industry-templates-new,Add Industry Template,,,
pmoMenuConfig,pmo-industry-templates-on-hold,Template Drafts,,,
pmoMenuConfig,pmo-pr-my-daily-log,My daily log entries,,,
pmoMenuConfig,pmo-governance,Governance & Standards,,,
pmoMenuConfig,pmo-gov-mandate-approval,Approval / Authorisation,,,
pmoMenuConfig,pmo-gov-communication-strategy,Communication Management Strategy,,,
pmoMenuConfig,pmo-gov-configuration-strategy,Configuration Management Strategy,,,
pmoMenuConfig,pmo-gov-quality-strategy,Quality Management Strategy,,,
pmoMenuConfig,pmo-gov-risk-strategy,Risk Management Strategy,,,
pmoMenuConfig,pmo-gov-itto-templates,ITTO Templates,,,
pmoMenuConfig,pmo-gov-itto-drafts,ITTO Drafts,,,
pmoMenuConfig,pmo-initiation,Initiation & Business Justification,,,
pmoMenuConfig,pmo-init-project-brief,Project Brief,,,
pmoMenuConfig,pmo-init-benefits-review-plan,Benefits Review Plan,,,
pmoMenuConfig,pmo-oversight,Project Oversight,,,
